Stock Name,RS Rating,Basic Industry,EPS Latest Quarter,QoQ % EPS Latest,YoY% EPS Latest,Sales Latest Quarter,QoQ % Sales Latest,YoY % Sales Latest
AFFLE,84,Advertising,7.13,8.7,28.2,601.67,10.8,20.6
BCG,83,Advertising,0.92,NA,NA,1302.81,NA,-28.2
SIGNPOST,40,Advertising,1.08,-63.8,-41.9,112.21,-13.5,7.1
TOUCHWOOD,3,Advertising,2.97,828.1,165.2,36.11,809.6,448
VERTOZ,0,Advertising,0.09,12.5,-97.5,66.2,4,19.7
ODIGMA,0,Advertising,0.04,33.3,NA,10.17,20.4,NA
APOLLO,90,Aerospace & Defense,0.6,13.2,33.3,148.39,-7.7,62.4
BEL,80,Aerospace & Defense,1.79,19.3,42.1,5770.69,25.3,38.6
PARAS,78,Aerospace & Defense,3.73,4.8,82.8,85.77,-1.5,33.5
BDL,75,Aerospace & Defense,4.01,19.7,-46.2,832.14,52.7,38.3
ZENTEC,70,Aerospace & Defense,4.4,-36.6,14.9,152.21,-37.1,52.9
HAL,44,Aerospace & Defense,21.42,-3.9,13.8,6956.93,16.4,14.8
BLAL,40,Aerospace & Defense,-0.11,38.9,15.4,0,NA,NA
DCXINDIA,40,Aerospace & Defense,1.05,123.4,-19.8,283.11,44.7,42.8
UNIMECH,18,Aerospace & Defense,3.06,-62.3,NA,53.9,-55.3,NA
DATAPATTNS,8,Aerospace & Defense,7.98,47.2,-13.2,117.04,28.6,-16.2
NIBE,8,Aerospace & Defense,6.38,6,166.9,135.99,23.6,230.2
ROSSTECH,4,Aerospace & Defense,1.38,7000,NA,75.74,48.2,NA
IDEAFORGE,3,Aerospace & Defense,-5.56,-74.3,-261.2,17.6,-52.7,-80.7
ROSSELLIND,0,Aerospace & Defense,0.99,-78.1,1880,62.65,-21.8,21.1
BOHRAIND,98,Agro chemicals,-0.3,NA,21.1,0,NA,-100
MBAPL,95,Agro chemicals,2.04,29.1,1260,283.72,1.9,16.4
NACLIND,92,Agro chemicals,-1.82,-339.5,-156.3,267.77,-39.2,-26.7
UPL,91,Agro chemicals,9.81,287.2,160.7,10907,-1.7,10.3
BHAGCHEM,88,Agro chemicals,0.29,-35.6,-32.6,102.73,-1,38
PARADEEP,88,Agro chemicals,1.95,-30.4,36.4,4104.92,6.8,58.2
SHARDACROP,86,Agro chemicals,3.45,-26.6,505.3,929.33,19.6,46.9
SHIVALIK,85,Agro chemicals,3.39,30.9,65.4,85.31,3.5,21.4
SUMICHEM,83,Agro chemicals,1.69,-55.9,45.7,622.43,-35.9,15.2
SPIC,82,Agro chemicals,1.89,8.6,11.2,818.04,7.7,61.5
BHARATRAS,81,Agro chemicals,97.54,1,134.1,256.4,-21.8,10
RAMAPHO,79,Agro chemicals,1.03,-41.1,106.2,179.62,-14.3,54.5
MANORG,77,Agro chemicals,3.3,31.5,189.5,100.53,-27.3,15.4
ZUARI,69,Agro chemicals,12.97,-32.8,296.6,1264.13,12.5,49.9
UNIENTER,66,Agro chemicals,-0.27,-147.4,-437.5,5.1,-83.3,7185.7
INSECTICID,62,Agro chemicals,5.07,-75.6,20.4,359.23,-42.7,0.3
SIKKO,54,Agro chemicals,0.6,-37.5,-31.8,11.7,-23.9,-14.2
DHANUKA,50,Agro chemicals,12.08,-53.2,20.7,445.27,-32,10.4
BAYERCROP,49,Agro chemicals,7.61,-74.9,-63.4,1056.9,-39.2,10.7
EXCELINDUS,46,Agro chemicals,4.93,-82.6,123.1,196.41,-27,8.9
PIIND,46,Agro chemicals,24.57,-26.7,-17.2,1900.8,-14.4,0.2
ACI,40,Agro chemicals,4.56,157.6,-45.5,242.54,1.8,-41.2
MOL,34,Agro chemicals,-0.17,51.4,88,568.51,4.5,61.6
KHAICHEM,25,Agro chemicals,1.29,503.1,146.4,198.76,-13.8,55.9
RALLIS,24,Agro chemicals,0.57,-88.7,-53.7,522,-43.8,-12.7
DHARMAJ,23,Agro chemicals,0.35,-94.4,-80.8,174.51,-44,41.3
ASTEC,19,Agro chemicals,-20.59,-4.7,-66.7,93.86,-4.8,84.5
IPL,9,Agro chemicals,1.51,-34.3,-31.7,172.22,-24.7,14.2
HERANBA,6,Agro chemicals,-2.55,-126.8,-172.2,341.29,-22,13.9
AVANTIFEED,95,Agro Products,9.92,18.9,84,1365.77,0.8,9
KSCL,91,Agro Products,3,2600,36.4,174.05,26.6,22
AJOONI,86,Agro Products,0.04,0,-60,34.03,32.3,69.1
NARMADA,71,Agro Products,0.26,-23.5,62.5,13.84,34.1,12.3
HARRMALAYA,67,Agro Products,6.05,171.3,64,142.25,3.6,9.7
APEX,66,Agro Products,-0.07,86.5,-106.8,230.73,15.6,55.7
JUBLCPL,64,Agro Products,14.16,NA,NA,397.52,NA,NA
UMAEXPORTS,58,Agro Products,0.64,814.3,28,494.68,31.6,14.5
NATHBIOGEN,42,Agro Products,1.4,141.4,-30.7,36.87,14.5,15.8
SANSTAR,33,Agro Products,0.78,NA,NA,212.69,NA,NA
BSHSL,31,Agro Products,0.86,309.5,14.7,127.86,352.4,67.3
AGRITECH,25,Agro Products,-0.19,-35.7,-101.3,0.03,200,NA
INDOUS,6,Agro Products,2.52,16.1,32.6,23.56,6.1,6.2
OSWALSEEDS,2,Agro Products,0.59,1375,318.5,75.42,11.4,-1.8
BESTAGRO,1,Agro Products,-10.22,-125.5,-278.5,274.11,-63.3,-12.9
GLOBALVECT,92,Airlines,-2.14,27.5,-186.6,142.58,14.7,10
INDIGO,89,Airlines,63.2,347,-18.7,22110.7,30.3,13.7
JETAIRWAYS,62,Airlines,NA,NA,NA,NA,NA,NA
IMAGICAA,49,Amusement Parks/ Other Recreation,0.06,150,-68.4,91.86,129.5,35.8
WONDERLA,36,Amusement Parks/ Other Recreation,3.2,22.6,-52.2,121.51,80.2,-1.7
GFLLIMITED,18,Amusement Parks/ Other Recreation,0.42,113.1,100,0.82,-4.7,1.2
DREAMFOLKS,4,Amusement Parks/ Other Recreation,3.23,6.6,-18.4,340.07,7.3,11.5
V2RETAIL,99,Apparels,14.71,2143.1,111.4,590.94,55.5,58.1
THOMASCOTT,92,Apparels,2.66,5.6,-9.2,45.4,11.5,109.2
MITTAL,75,Apparels,0.01,0,0,18.08,-7.3,31.3
HEADSUP,72,Apparels,0.12,0,146.2,0.15,650,114.3
METROBRAND,69,Apparels,3.48,35.9,-3.3,703.09,20.1,10.6
WEIZMANIND,64,Apparels,1.25,-12.6,-22.4,28.58,-9.2,0.4
ETHOSLTD,63,Apparels,12.05,38.7,13.1,369.93,24.5,31.5
SIL,44,Apparels,-0.87,-180.6,-163.6,7.72,70,44.8
FLFL,25,Apparels,NA,NA,NA,NA,NA,NA
LIBAS,22,Apparels,-0.57,-185.1,-190.5,21.5,5.7,18.1
MANYAVAR,21,Apparels,6.5,136.4,-0.6,511.28,90.8,7.7
STANLEY,21,Apparels,1.51,51,NA,109.7,6.5,2.1
GOCOLORS,14,Apparels,4.5,17.8,1.8,214.73,3,6.2
NAGREEKCAP,90,Asset Management,2.08,-35.2,-60.7,4.33,-70.8,-71.6
360ONE,85,Asset Management,7.12,5.6,31.1,759.83,-11.9,20.6
DHUNINV,80,Asset Management,80.51,-7.8,924.9,138.6,-13.4,89.5
HDFCAMC,69,Asset Management,30.01,11.1,31.3,934.36,5.3,39.2
ABSLAMC,68,Asset Management,7.78,-7.6,6.3,445.11,4.9,30.3
IVC,60,Asset Management,0.04,233.3,-75,5.24,-33.3,-55.3
UTIAMC,57,Asset Management,11.78,-37.2,-19.8,417.58,-22.4,-7
NAM-INDIA,51,Asset Management,4.66,-18.2,2.9,587.89,2.9,38.9
CONSOFINVT,45,Asset Management,4.7,-67.8,50.2,14.16,-15.4,-2.2
WELINV,41,Asset Management,0.19,-98.1,0,0.19,-96.1,-20.8
SETCO,98,Auto Ancilaries,-2.15,0,-23.6,177.33,10.9,7.4
GREAVESCOT,96,Auto Ancilaries,0.9,500,-64,750.6,6.4,12.8
GABRIEL,93,Auto Ancilaries,3.76,2.5,23.3,924.18,0,13.6
NDRAUTO,88,Auto Ancilaries,5.63,11.9,-22.3,175.2,0.5,24.9
MAHSCOOTER,87,Auto Ancilaries,2.89,-97.8,232.2,5.79,-96.5,-9.1
MINDACORP,86,Auto Ancilaries,2.71,-13.1,20.4,1252.56,-2.9,7.4
SWARAJENG,84,Auto Ancilaries,26.3,-29.7,32,345.5,-25.6,23.5
LUMAXTECH,83,Auto Ancilaries,6.58,4.4,21.4,905.6,7.5,23.6
SJS,80,Auto Ancilaries,8.8,-1.6,63,178.56,69.1,11.1
HINDCOMPOS,79,Auto Ancilaries,7.43,17.9,67.3,81.83,6.3,14
FIEMIND,78,Auto Ancilaries,17.86,-6.3,15.4,593.09,-3.2,21.7
ASAHIINDIA,76,Auto Ancilaries,4.34,10.4,60.7,1124.3,-2.9,7.7
BANCOINDIA,73,Auto Ancilaries,2.16,-77.7,-77.6,639.06,-28.6,12
UNOMINDA,71,Auto Ancilaries,4.05,-5.2,17.4,4183.99,-1.4,18.8
SHRIPISTON,69,Auto Ancilaries,27.22,-3.9,11.4,847.89,-3.3,10.7
URAVIDEF,68,Auto Ancilaries,0.25,-7.4,-40.5,10.02,-10.1,-13.6
SINTERCOM,67,Auto Ancilaries,0.15,200,-34.8,24.12,15.2,3.2
SUBROS,67,Auto Ancilaries,5.05,-9.5,20.5,820.98,-0.9,12.1
SUNDRMBRAK,67,Auto Ancilaries,2.26,-39.6,-72,88.3,6,4.1
SANSERA,66,Auto Ancilaries,8.99,-4.3,-4.7,727.8,-4.7,2.1
IGARASHI,63,Auto Ancilaries,1.64,-33.9,173.3,210.8,-2.4,21.3
AUTOAXLES,60,Auto Ancilaries,26.19,10,0.7,530.74,7.3,-2
PPAP,60,Auto Ancilaries,1.15,-43.3,161.8,139.25,-3.9,13.7
SUPRAJIT,56,Auto Ancilaries,2.41,7933.3,-19.9,831.58,-0.2,14.8
RACLGEAR,56,Auto Ancilaries,7.11,17.1,-36.3,109.49,3.1,-3.4
SHARDAMOTR,54,Auto Ancilaries,25.13,-5.4,-0.7,689.99,-3,0.1
DYNAMATECH,53,Auto Ancilaries,5.57,-70.7,-68.7,315.43,-12.7,-8.7
RANEHOLDIN,53,Auto Ancilaries,2.27,-98.2,-91.7,1240.56,35.4,48.2
ENDURANCE,51,Auto Ancilaries,13.11,-9.2,20.3,2859.16,-1.8,11.6
FMGOETZE,50,Auto Ancilaries,5.2,-24.3,16.1,433.09,-6.6,4.4
VARROC,50,Auto Ancilaries,-3.1,-185.2,-112.3,2075.26,-0.3,10.1
BOSCHLTD,49,Auto Ancilaries,155.36,-14.5,-11.6,4465.7,1.6,6.2
IMPAL,49,Auto Ancilaries,13.06,-27.9,8.6,212,11.6,16.4
MOTHERSON,48,Auto Ancilaries,1.25,0,45.3,27665.92,-0.5,7.9
ARE&M,47,Auto Ancilaries,17.04,29.6,20.7,3164.02,0.9,9.8
EXIDEIND,45,Auto Ancilaries,1.84,-32.6,-22,4016.72,-9.7,0.9
ZFCVINDIA,45,Auto Ancilaries,65.85,14.2,25.2,955.89,5.4,7.8
MENONBE,44,Auto Ancilaries,0.98,3.2,-2,58.39,42.3,18
JMA,44,Auto Ancilaries,2.93,70.3,31.4,141.05,42.7,3.7
SSWL,44,Auto Ancilaries,3.04,3.4,-19.8,1074.68,-1.9,-3.2
CIEINDIA,43,Auto Ancilaries,4.88,-5.2,8,2109.95,-1.2,-5.8
SUNDRMFAST,42,Auto Ancilaries,6.2,-8.7,-0.2,1441.12,-3,5.4
INDNIPPON,41,Auto Ancilaries,7.06,-24.6,30.3,214.67,2.3,20
UCAL,41,Auto Ancilaries,2.86,1143.5,966.7,203.3,-4.6,8.5
MTARTECH,40,Auto Ancilaries,5.31,-13.1,51.7,174.45,-8.3,47.5
HITECHGEAR,39,Auto Ancilaries,3.66,-28,-54.2,205.06,-16.8,-24.9
KROSS,39,Auto Ancilaries,2.11,41.6,NA,150.05,7.9,NA
SONACOMS,37,Auto Ancilaries,2.43,4.3,7.5,867.91,-5.9,11
JTEKTINDIA,35,Auto Ancilaries,0.64,-17.9,-40.2,591.93,-2.2,7.2
TALBROAUTO,32,Auto Ancilaries,3.86,1.8,3.2,201.47,-6.5,1.3
TVSHLTD,32,Auto Ancilaries,191.11,38.7,72,11458.91,-0.8,14.4
OMAXAUTO,30,Auto Ancilaries,1.34,-81.6,1775,92.28,17.4,-12.1
SHIVAMAUTO,30,Auto Ancilaries,-0.97,-7.8,11.8,112.74,-6.4,-6.8
REMSONSIND,28,Auto Ancilaries,1.14,8.6,-82.4,102.58,40.5,24.7
TIINDIA,27,Auto Ancilaries,10.01,-6.4,-63.7,4812.22,-2.3,14.7
BHARATGEAR,23,Auto Ancilaries,-6.7,-175.8,-87.2,142.08,-13.7,-0.5
GNA,23,Auto Ancilaries,5.91,-11.3,11.7,375.07,-3.2,5
MUNJALAU,23,Auto Ancilaries,-0.22,-111.8,81,522.09,-0.1,23.6
