Stock Name,Quarterly Results Date,QoQ % Net Profit Latest,QoQ % EPS Latest,YoY% EPS Latest,QoQ % Sales Latest,YoY % Sales Latest
DIGJAMLMTD,13/03/2025,113,113,190.5,-5.6,-8.4
AJAXENGG,09/03/2025,NA,NA,NA,NA,NA
GENCON,06/03/2025,-16.5,-17.9,-41.8,81.4,57.9
HEXT,06/03/2025,NA,NA,NA,NA,NA
ANSALAPI,28/02/2025,NA,NA,NA,NA,NA
FOSECOIND,28/02/2025,2,2.2,19.5,-3.1,11.5
IGIL,28/02/2025,3.6,-4.7,NA,6,6
RANASUG,28/02/2025,196.1,195.8,119,1.2,15.8
KSB,27/02/2025,18.4,18.3,-73.5,17.8,20.5
SANOFI,27/02/2025,11.1,11.1,-33.7,-1.7,-25.8
SCHAEFFLER,27/02/2025,0.9,0.8,14.1,0.5,12.2
VESUVIUS,26/02/2025,-12.5,-12.5,4.7,14.5,22
RAIN,25/02/2025,13.7,9.9,85.5,-6.6,-10.4
DIL,21/02/2025,-106.1,-104.8,-111.1,-95.7,-97
CIEINDIA,20/02/2025,-5.3,-5.2,8,-1.2,-5.8
SANOFICONR,20/02/2025,-1.6,-1.5,-34.7,6.7,-24
ABB,18/02/2025,20,20,55.1,15.5,22
VASWANI,15/02/2025,-25.3,-24.4,-23.4,0.2,-13.6
AAREYDRUGS,14/02/2025,-56.1,-56.9,-70.2,27.2,74.8
ABFRL,14/02/2025,80.3,72.4,36.8,18.1,3.3
ACCURACY,14/02/2025,98,50,150,0.4,35.6
ADFFOODS,14/02/2025,-4.7,-5,-6,-8.6,13.7
ADL,14/02/2025,-96.4,-95.8,-92.9,-15.1,0.2
AGARWALEYE,14/02/2025,-29.4,NA,NA,-47.5,NA
AGSTRA,14/02/2025,-1378,-1323.4,-1164.2,-40.4,-43.9
AHLADA,14/02/2025,-35.2,-32.5,-87.4,-0.4,-34.7
AIRAN,14/02/2025,231.8,215.4,-46.4,2,5.8
AKASH,14/02/2025,103.2,103.6,103.4,50.4,157.8
AKI,14/02/2025,28.8,60,-38.5,94.7,23.3
AKSHAR,14/02/2025,-47.5,-50,-127.3,11.8,-42.2
ALPSINDUS,14/02/2025,-2,-1.7,-8.8,-100,-100
AMBICAAGAR,14/02/2025,-60.4,-59.3,156.4,7.5,24.3
ANTGRAPHIC,14/02/2025,468.8,NA,-55.6,3952.3,5651.6
ARCHIES,14/02/2025,-95.4,-95,-96,-11.5,-15.7
ARENTERP,14/02/2025,-134.8,-138.2,-123.9,-100,-100
ARMANFIN,14/02/2025,-147.4,-147.5,-116.1,-9.2,-2.4
ARSSINFRA,14/02/2025,-114.9,-115.1,99.2,-42,-74.1
ASHAPURMIN,14/02/2025,152.1,137.4,77.2,43.3,21.3
ASTRON,14/02/2025,-183.7,-182.9,-1985.2,-96.2,-98.1
AVONMORE,14/02/2025,-92.2,-80,-99.5,-35.1,9.7
AVROIND,14/02/2025,19.5,18.3,-17.1,33.2,-17.7
AWHCL,14/02/2025,17.4,30,21.2,9.7,11.7
BAJAJCON,14/02/2025,-20.7,-21,-32.4,0.2,-2
BALAJEE,14/02/2025,-10.3,-13.8,NA,-8.3,NA
BANG,14/02/2025,666.7,1600,114.8,3.6,36.1
BASML,14/02/2025,-11.7,-21.1,168.2,-8.5,7.7
BBTCL,14/02/2025,-4907.1,-3081.8,-245.1,2.4,34.7
BCG,14/02/2025,NA,NA,NA,NA,NA
BEARDSELL,14/02/2025,-22,-22.5,-1.6,-5.2,6.7
BESTAGRO,14/02/2025,-125.5,-125.5,-278.5,-63.3,-12.9
BGLOBAL,14/02/2025,50,52.2,42.1,-100,-100
BHANDARI,14/02/2025,18.8,0,-55.6,-7.7,4.4
BIGBLOC,14/02/2025,26.1,0,-88.4,10,-7.7
BOHRAIND,14/02/2025,NA,NA,21.1,NA,-100
BORORENEW,14/02/2025,-129.7,-177,-81.4,-2.9,9.5
BTML,14/02/2025,-20.3,-21.4,120,20.2,29.9
BVCL,14/02/2025,372,354.2,-46,31.1,-7.5
CAMLINFINE,14/02/2025,93.6,96.3,64.5,2.5,12.3
